0001 (11/03/1996) 04 05 30 33 41 52
0002 (18/03/1996) 09 37 39 41 43 49
0003 (25/03/1996) 10 11 29 30 36 47
0004 (01/04/1996) 01 05 06 27 42 59
0005 (08/04/1996) 01 02 06 16 19 46
0006 (15/04/1996) 07 13 19 22 40 47
0007 (22/04/1996) 03 05 20 21 38 56
0008 (29/04/1996) 04 17 37 38 47 53
0009 (06/05/1996) 08 43 54 55 56 60
0010 (13/05/1996) 04 18 21 25 38 57
0011 (20/05/1996) 15 25 37 38 58 59
0012 (27/05/1996) 04 16 19 20 27 43
0013 (03/06/1996) 18 32 47 50 54 56
0014 (10/06/1996) 02 16 23 27 47 53
0015 (17/06/1996) 12 33 35 51 52 60
0016 (24/06/1996) 20 32 34 49 58 60
0017 (01/07/1996) 06 10 13 19 20 51
0018 (08/07/1996) 23 27 36 37 42 56
0019 (15/07/1996) 05 10 12 24 25 60
0020 (22/07/1996) 11 25 28 30 33 51
0021 (29/07/1996) 06 33 36 46 49 53
0022 (05/08/1996) 01 09 31 38 46 56
0023 (12/08/1996) 17 37 39 51 52 59
0024 (19/08/1996) 01 08 14 28 33 43
0025 (25/08/1996) 24 43 50 54 55 56
0026 (01/09/1996) 10 22 50 53 57 58
0027 (08/09/1996) 13 17 20 33 44 51
0028 (15/09/1996) 03 06 22 24 54 60
0029 (22/09/1996) 03 08 14 43 56 58
0030 (29/09/1996) 07 14 15 29 38 50
0031 (06/10/1996) 17 19 28 45 48 56
0032 (13/10/1996) 05 14 33 36 43 44
0033 (20/10/1996) 05 17 33 39 42 49
0034 (27/10/1996) 13 15 17 40 53 57
0035 (03/11/1996) 04 16 21 23 54 57
0036 (10/11/1996) 03 13 17 25 29 51
0037 (17/11/1996) 06 07 22 38 52 60
0038 (24/11/1996) 10 42 43 45 54 55
0039 (01/12/1996) 12 16 37 45 52 56
0040 (08/12/1996) 03 05 08 12 46 47
0041 (15/12/1996) 12 26 35 38 39 47
0042 (22/12/1996) 07 11 19 24 33 36
0043 (29/12/1996) 02 06 17 25 26 58
0044 (05/01/1997) 14 18 29 38 44 47
0045 (12/01/1997) 07 30 37 44 53 55
0046 (19/01/1997) 01 23 24 32 46 60
0047 (26/01/1997) 03 17 25 35 48 56
0048 (02/02/1997) 02 05 28 34 47 50
0049 (09/02/1997) 07 13 33 35 43 55
0050 (16/02/1997) 06 16 21 44 57 58
0051 (23/02/1997) 17 23 24 25 42 47
0052 (02/03/1997) 15 30 38 46 58 59
0053 (09/03/1997) 03 13 16 38 42 46
0054 (16/03/1997) 05 09 18 21 36 56
0055 (23/03/1997) 02 14 23 29 38 52
0056 (30/03/1997) 02 07 20 35 51 59
0057 (06/04/1997) 07 16 17 27 34 59
0058 (13/04/1997) 12 27 30 37 44 49
0059 (20/04/1997) 02 08 13 28 34 54
0060 (27/04/1997) 03 14 15 20 21 38
0061 (04/05/1997) 08 18 29 42 44 59
0062 (11/05/1997) 06 08 13 24 31 52
0063 (18/05/1997) 09 25 26 40 41 49
0064 (25/05/1997) 08 12 23 50 54 60
0065 (01/06/1997) 01 05 20 25 32 34
0066 (08/06/1997) 12 13 15 26 33 48
0067 (15/06/1997) 12 14 17 27 47 52
0068 (22/06/1997) 01 03 12 13 53 59
0069 (29/06/1997) 25 34 45 53 56 58
0070 (06/07/1997) 17 23 27 40 43 58
0071 (13/07/1997) 16 27 33 43 45 53
0072 (20/07/1997) 01 19 34 43 44 48
0073 (27/07/1997) 25 26 28 45 51 57
0074 (03/08/1997) 02 24 34 37 38 50
0075 (10/08/1997) 21 24 35 36 37 49
0076 (17/08/1997) 08 17 18 23 33 53
0077 (24/08/1997) 21 29 40 49 54 57
0078 (31/08/1997) 12 22 25 31 32 46
0079 (07/09/1997) 02 13 17 25 31 43
0080 (14/09/1997) 23 28 37 40 48 51
0081 (21/09/1997) 10 23 41 47 54 60
0082 (28/09/1997) 15 18 29 36 51 53
0083 (05/10/1997) 04 15 16 24 42 57
0084 (12/10/1997) 04 06 10 25 34 40
0085 (19/10/1997) 06 15 30 37 45 47
0086 (26/10/1997) 06 21 22 34 36 54
0087 (02/11/1997) 04 05 11 28 32 40
0088 (09/11/1997) 04 18 29 37 43 45
0089 (16/11/1997) 13 34 42 44 55 59
0090 (23/11/1997) 09 21 26 40 52 54
0091 (30/11/1997) 02 04 10 35 39 60
