0001 (13/03/1994) 25 45 60 76 79
0002 (17/03/1994) 13 30 58 63 64
0003 (20/03/1994) 05 15 32 33 48
0004 (24/03/1994) 27 57 60 61 77
0005 (27/03/1994) 19 44 53 54 71
0006 (03/04/1994) 04 45 54 65 67
0007 (07/04/1994) 09 21 37 42 68
0008 (10/04/1994) 05 16 26 28 62
0009 (14/04/1994) 04 15 44 64 73
0010 (17/04/1994) 20 32 49 54 62
0011 (24/04/1994) 17 33 52 60 76
0012 (28/04/1994) 01 28 56 65 79
0013 (01/05/1994) 13 33 38 39 72
0014 (05/05/1994) 44 52 60 64 68
0015 (08/05/1994) 02 25 54 63 66
0016 (12/05/1994) 11 24 63 64 69
0017 (15/05/1994) 01 14 26 34 72
0018 (19/05/1994) 06 29 40 63 72
0019 (22/05/1994) 12 21 42 60 66
0020 (26/05/1994) 13 16 31 39 70
0021 (29/05/1994) 05 15 38 48 77
0022 (05/06/1994) 07 09 11 25 75
0023 (09/06/1994) 01 15 63 72 77
0024 (12/06/1994) 09 44 57 67 68
0025 (16/06/1994) 02 29 46 69 76
0026 (19/06/1994) 10 15 22 55 79
0027 (23/06/1994) 05 36 39 70 78
0028 (26/06/1994) 08 26 28 29 30
0029 (03/07/1994) 20 23 31 35 76
0030 (07/07/1994) 12 13 14 56 60
0031 (10/07/1994) 43 51 54 69 73
0032 (14/07/1994) 09 23 31 60 80
0033 (18/07/1994) 21 31 44 65 74
0034 (21/07/1994) 17 45 64 67 69
0035 (24/07/1994) 44 52 54 56 60
0036 (28/07/1994) 42 56 62 65 79
0037 (31/07/1994) 09 26 31 36 65
0038 (04/08/1994) 11 12 57 59 69
0039 (07/08/1994) 05 07 21 28 70
0040 (11/08/1994) 02 18 31 38 49
0041 (14/08/1994) 05 14 31 41 49
0042 (18/08/1994) 15 33 39 76 78
0043 (21/08/1994) 05 18 21 41 71
0044 (25/08/1994) 02 07 57 59 76
0045 (28/08/1994) 02 03 27 64 65
0046 (01/09/1994) 30 49 72 78 80
0047 (04/09/1994) 10 18 22 31 73
0048 (11/09/1994) 20 39 72 73 76
0049 (15/09/1994) 10 19 39 52 66
0050 (18/09/1994) 04 10 15 42 45
0051 (22/09/1994) 02 20 26 42 79
0052 (25/09/1994) 06 39 41 61 64
0053 (29/09/1994) 40 42 48 64 69
0054 (02/10/1994) 13 21 32 33 66
0055 (09/10/1994) 12 14 60 66 68
0056 (16/10/1994) 05 18 24 43 48
0057 (17/10/1994) 31 49 52 63 71
0058 (23/10/1994) 34 41 50 67 77
0059 (27/10/1994) 20 35 37 42 71
0060 (30/10/1994) 19 25 32 68 71
0061 (06/11/1994) 27 54 63 71 77
0062 (10/11/1994) 03 12 24 36 40
0063 (13/11/1994) 11 40 50 74 78
0064 (20/11/1994) 25 43 52 59 75
0065 (24/11/1994) 03 25 60 62 75
0066 (27/11/1994) 66 73 75 76 79
0067 (01/12/1994) 05 23 36 67 70
0068 (04/12/1994) 07 52 68 69 76
0069 (08/12/1994) 16 61 65 72 78
0070 (11/12/1994) 05 25 52 57 62
0071 (15/12/1994) 27 55 66 73 75
0072 (18/12/1994) 12 23 39 54 72
0073 (26/12/1994) 06 17 49 65 70
0074 (02/01/1995) 41 47 49 70 74
0075 (05/01/1995) 04 27 46 53 55
0076 (08/01/1995) 03 23 58 62 74
0077 (12/01/1995) 06 09 27 43 65
0078 (15/01/1995) 02 19 50 59 69
0079 (19/01/1995) 04 18 55 57 74
0080 (22/01/1995) 35 42 55 60 78
0081 (26/01/1995) 13 31 45 56 63
0082 (29/01/1995) 13 34 55 64 80
0083 (02/02/1995) 17 20 30 33 68
0084 (05/02/1995) 01 08 13 53 61
0085 (09/02/1995) 03 20 27 32 61
0086 (12/02/1995) 13 49 57 67 78
0087 (16/02/1995) 18 29 37 51 57
0088 (19/02/1995) 11 25 49 51 53
0089 (23/02/1995) 02 32 40 53 54
0090 (26/02/1995) 08 16 32 74 79
0091 (05/03/1995) 07 30 33 52 69
0092 (09/03/1995) 11 25 29 42 66
0093 (12/03/1995) 04 06 27 68 74
0094 (16/03/1995) 01 19 59 65 80
0095 (19/03/1995) 06 43 50 63 71
0096 (23/03/1995) 04 50 51 52 77
0097 (26/03/1995) 05 06 16 54 70
0098 (30/03/1995) 04 16 17 35 49
